date,cases,cum_cases,deaths,cum_deaths,mask_required,population,current_population,incidence_rate,spread_category,removed,cum_removed,infected,susceptible,transmission_rate,infection_rate,r0,derivative
2020-02-01,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-02,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-03,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-04,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-05,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-06,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-07,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-08,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-09,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-10,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-11,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-12,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-13,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-14,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-15,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-16,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-17,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-18,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-19,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-20,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-21,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-22,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-23,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-24,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-25,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-26,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-27,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-28,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-02-29,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-01,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-02,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-03,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-04,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-05,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-06,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-07,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-08,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-09,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-10,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-11,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-12,0,0,0,0,,945726,945726,0.0,green,0,0,0,945726.0,0.0,0.0,0.0,0.0
2020-03-13,0,2,0,0,,945726,945726,0.0,green,0,0,2,945726.0,2.1147774302493535e-06,0.0,3.0211106146419334e-05,0.00010573909512711955
2020-03-14,2,6,0,0,,945726,945726,0.21147774302493533,green,0,0,6,945724.0,6.344345707627172e-06,0.0002114781902542391,9.06335101089596e-05,0.00010573954235926066
2020-03-15,2,6,0,0,,945726,945726,0.21147774302493533,green,0,0,6,945720.0,6.34437254155564e-06,0.00021147908471852133,9.063389345079485e-05,5.287021841177147e-05
2020-03-16,3,13,0,0,,945726,945726,0.317216614537403,green,0,0,13,945720.0,1.3746140506703888e-05,0.00031721862707778203,0.0001963734358100555,0.00021148143271457252
2020-03-17,6,24,0,0,,945726,945726,0.634433229074806,green,0,0,24,945713.0,2.5377678005906655e-05,0.0006344419501476664,0.0003625382572272379,0.0005287107936407491
2020-03-18,13,47,0,0,,945726,945726,1.3746053296620797,green,0,0,47,945702.0,4.9698530826835515e-05,0.0013746402143592802,0.0007099790118119359,0.0005287320385809059
2020-03-19,16,62,0,1,,945726,945725,1.691823733114806,green,0,0,62,945679.0,6.556135855824228e-05,0.0016919060273094782,0.0009365908365463182,0.0005287566388950758
2020-03-20,23,95,0,2,,945726,945724,2.4319991879237493,green,0,0,95,945664.0,0.00010045851380617218,0.0024321534921494317,0.0014351216258024595,0.0005287904116348295
2020-03-21,26,126,0,2,,945726,945724,2.749216473305108,green,0,0,126,945631.0,0.0001332443627588351,0.0027494868505791373,0.0019034908965547869,0.0008989824755834906
2020-03-22,40,182,0,2,,945726,945724,4.229563805084782,green,0,0,182,945600.0,0.0001924703891708968,0.004230118443316413,0.002749576988155668,0.0005289226124622441
2020-03-23,36,204,0,2,,945726,945724,3.8066074245763035,green,0,0,204,945544.0,0.0002157488176118721,0.0038073320755036256,0.003082125965883887,-5.2706362602573855e-05
2020-03-24,39,243,0,2,,945726,945724,4.123824709957662,green,0,0,243,945522.0,0.0002570008947438558,0.004124705718111265,0.003671441353483654,0.0005818360812709512
2020-03-25,47,325,0,4,,945726,945722,4.969747980907709,green,0,0,325,945483.0,0.00034373965475846736,0.004971004238045528,0.004910566496549533,0.0004233648416872267
2020-03-26,47,347,2,9,,945726,945717,4.969774255934915,green,0,0,347,945401.0,0.00036704001793947755,0.0049714354014857185,0.005243428827706822,0.0004762729997391294
2020-03-27,56,411,2,10,,945726,945716,5.921439417330362,green,0,0,411,945379.0,0.0004347462763611208,0.005923550237523787,0.006210661090873154,0.0013225366906504856
2020-03-28,72,541,3,13,,945726,945713,7.613303401771996,orange,2,2,539,945315.0,0.0005701803102669481,0.00761650878278669,0.008145433003813544,0.0015875988133254755
2020-03-29,86,606,2,15,,945726,945711,9.09368718350532,orange,2,4,602,945185.0,0.0006369123504922317,0.009098747864174738,0.009098747864174738,-0.00021083522222788273
2020-03-30,68,617,3,20,,945726,945706,7.190395323705253,orange,3,7,610,945122.0,0.0006454193215267447,0.007194838338330924,0.009220276021810638,-0.0015867652281546115
